City,Total_Listings,Avg_Rent,Median_Rent,Avg_Days_On_Market,Avg_Rent_Per_Sqft
Abu Dhabi,23324,115262.0,90000.0,87.0,60.0
Ajman,4704,68247.0,45000.0,72.0,27.0
Al Ain,1040,64640.0,50000.0,115.0,26.0
Dubai,34250,213366.0,145000.0,64.0,132.0
Fujairah,27,73593.0,55000.0,174.0,31.0
Ras Al Khaimah,816,77539.0,58000.0,95.0,46.0
Sharjah,9516,47883.0,37990.0,74.0,38.0
Umm Al Quwain,65,45231.0,27000.0,122.0,28.0
